iter	Passed	Remaining
0	416	62021
1	744	55080
2	1062	52047
3	1391	50795
4	1708	49546
5	2029	48696
6	2359	48208
7	2684	47644
8	3013	47208
9	3334	46685
10	3671	46399
11	4028	46326
12	4372	46076
13	4732	45968
14	5054	45489
15	5385	45102
16	5723	44779
17	6050	44368
18	6382	44006
19	6723	43699
20	7062	43383
21	7394	43021
22	7738	42732
23	8080	42423
24	8441	42208
25	8775	41852
26	9104	41478
27	9438	41124
28	9788	40840
29	10118	40473
30	10455	40134
31	10783	39765
32	11120	39428
33	11464	39113
34	11805	38788
35	12140	38445
36	12456	38043
37	12795	37713
38	13135	37386
39	13471	37046
40	13803	36696
41	14138	36355
42	14482	36039
43	14815	35692
44	15152	35356
45	15498	35039
46	15833	34699
47	16160	34341
48	16480	33970
49	16807	33615
50	17145	33282
51	17474	32933
52	17811	32598
53	18149	32266
54	18493	31943
55	18834	31615
56	19167	31273
57	19501	30933
58	19833	30590
59	20185	30277
60	20530	29954
61	20849	29593
62	21201	29278
63	21524	28923
64	21865	28593
65	22210	28268
66	22552	27938
67	22886	27598
68	23224	27263
69	23554	26919
70	23895	26588
71	24221	26239
72	24547	25892
73	24884	25557
74	25225	25225
75	25563	24890
76	25892	24547
77	26237	24218
78	26574	23883
79	26907	23544
80	27250	23213
81	27594	22883
82	27943	22556
83	28280	22220
84	28620	21886
85	28957	21549
86	29280	21202
87	29639	20882
88	29988	20553
89	30317	20211
90	30662	19880
91	31020	19556
92	31375	19230
93	31726	18900
94	32066	18564
95	32407	18229
96	32784	17912
97	33132	17580
98	33478	17246
99	33827	16913
100	34165	16575
101	34498	16234
102	34846	15900
103	35179	15559
104	35516	15221
105	35854	14882
106	36183	14541
107	36528	14205
108	36871	13869
109	37206	13529
110	37549	13192
111	37895	12857
112	38244	12522
113	38609	12192
114	38960	11857
115	39315	11523
116	39676	11190
117	40035	10857
118	40410	10527
119	40761	10190
120	41102	9851
121	41451	9513
122	41816	9179
123	42162	8840
124	42510	8502
125	42852	8162
126	43202	7824
127	43542	7483
128	43892	7145
129	44235	6805
130	44587	6466
131	44942	6128
132	45268	5786
133	45624	5447
134	45973	5108
135	46326	4768
136	46667	4428
137	47010	4087
138	47334	3745
139	47695	3406
140	48050	3067
141	48411	2727
142	48759	2386
143	49127	2046
144	49474	1706
145	49822	1364
146	50193	1024
147	50554	683
148	50908	341
149	51258	0
